Voltage DC (V),Mean Frequency (Hz), STDEV Frequency (Hz)
-0.5,32744.994972872453,0.03181234192703406
-0.4,32745.025006133452,0.019537636098115683
-0.3,32745.08216566223,0.02285953063742706
-0.19999999999999996,32745.11658317278,0.02239476587169909
-0.09999999999999998,32745.157556742313,0.021074502651944216
0.0,32745.2166686594,0.021695602859178383
0.10000000000000009,32745.260335173356,0.023654045794957432
0.20000000000000007,32745.28166270204,0.013968182788323421
0.30000000000000004,32745.316208682478,0.01957112758384272
0.4,32745.37888644506,0.02301406595821936
0.5,32745.428474885663,0.01730549123014056
