Voltage DC (V),Mean Frequency (Hz), STDEV Frequency (Hz)
0.5,32745.425154272838,0.013856835976826253
0.4,32745.3879928525,0.017482308108458456
0.3,32745.34702065073,0.01736849659644727
0.19999999999999996,32745.28353733867,0.02832893966705868
0.09999999999999998,32745.267414670674,0.017061400154156563
0.0,32745.219648017264,0.020529580986807544
-0.10000000000000009,32745.189121908043,0.01741836111802113
-0.20000000000000007,32745.12696482672,0.026220172830407038
-0.30000000000000004,32745.088764730826,0.020637226350123584
-0.4,32745.03459728855,0.020198202059012436
-0.5,32744.99285339406,0.016261505216707463
