Voltage DC (V),Mean Frequency (Hz), STDEV Frequency (Hz)
-6.5,32742.773757079078,0.0029896269467837677
-6.4,32742.77317809824,0.002780106240474466
-6.3,32742.773392776548,0.0029944925862971975
-6.2,32742.773126055075,0.0030897235207275817
-6.1,32742.77323699718,0.002787395039898605
-6.0,32742.77317159287,0.002977285920399192
-5.9,32742.773464677677,0.002971411614272424
-5.8,32742.77358793861,0.0029685171055097983
-5.7,32742.77355541156,0.0027489384540121424
-5.6,32742.773510394967,0.00296343062431126
-5.5,32742.773503368397,0.0031010440605484108
-5.4,32742.77391355614,0.0026989351588571665
-5.3,32742.773535895383,0.0029653219202460624
-5.2,32742.811234745124,0.004232175163086514
-5.1,32742.851671456887,0.004541494181390762
-5.0,32742.91222918545,0.005735689511759444
-4.9,32742.949218156555,0.004083766258775403
-4.8,32743.00784915102,0.005293900745830474
-4.7,32743.066627285243,0.004751794558627211
-4.6,32743.08609223321,0.0030698414776673733
-4.5,32743.12476405605,0.004168090951205949
-4.4,32743.20213997998,0.006248773188348801
-4.3,32743.237526527606,0.0037930141766026205
-4.199999999999999,32743.280741867715,0.0041307619912005905
-4.1,32743.33916058647,0.00508878840219221
-4.0,32743.383986656652,0.004519864742927782
-3.9,32743.398143051763,0.0030392372471542473
-3.8,1648369.789598585,22791214.128818113
-3.6999999999999997,32743.514433093624,0.004891118167407891
-3.5999999999999996,32743.55268535576,0.004331212497189424
-3.5,32743.593726659466,0.0036796478579598623
-3.4,32743.65167542323,0.005565122615056188
-3.3,32743.700522821422,0.0046758279966325296
-3.1999999999999997,32743.73041128295,0.0039753132663704355
-3.0999999999999996,32743.78904942951,0.00502889256903647
-3.0,32743.847807123886,0.004907477530731681
-2.9,32743.86802274913,0.0029368488568237605
-2.8,32743.941372996294,0.006134751543046856
-2.6999999999999997,32743.984769861065,0.00415755182267792
-2.5999999999999996,32744.015712865592,0.0036640211411839278
-2.5,32744.043803035816,0.0035399700048013745
-2.3999999999999995,32744.097771435245,0.005355291638542974
-2.3,32744.141216789845,0.004784711003797983
-2.2,32744.18026462547,0.004085837076678128
-2.0999999999999996,32744.238489139763,0.004886327795998558
-2.0,32744.297287665668,0.005408455563292863
-1.8999999999999995,32744.33016875857,0.003819005456567403
-1.7999999999999998,32744.375039887105,0.004724598063844937
-1.6999999999999993,32744.414205627738,0.004459163400972996
-1.5999999999999996,32744.474427040994,0.005335890279750872
-1.5,32744.51197909604,0.004161564872076239
-1.3999999999999995,32744.570362165254,0.004368887414860544
-1.2999999999999998,32744.629686077504,0.005683841328272991
-1.1999999999999993,32744.6487033796,0.003117616812848504
-1.0999999999999996,32744.688188653367,0.00451170335108341
-1.0,32744.727477204637,0.0041298437230375
-0.8999999999999995,32744.79172660788,0.005419359062408229
-0.7999999999999998,32744.84449155692,0.004812767111118021
-0.6999999999999993,3.2999999999999998e+35,5.706233433710892e+36
-0.5999999999999996,32744.94148038468,0.005724765802443146
-0.5,32744.961222685117,0.0032732692425014275
-0.39999999999999947,32745.01960921547,0.005077041490018681
-0.2999999999999998,32745.07790828838,0.005099525235367798
-0.1999999999999993,32745.117580333514,0.0037170735314887857
-0.09999999999999964,32745.15648965209,0.0041620627593289185
0.0,32745.215078659498,0.005400680968753241
0.10000000000000053,32745.25698971561,0.004316565410079565
0.20000000000000018,32745.274452587448,0.0032537164913172697
0.3000000000000007,32745.31329270066,0.00417035478869061
0.40000000000000036,32745.372494394884,0.004719014793306809
0.5,317538.92009913025,4924539.991188695
0.6000000000000005,32745.469846541582,0.0046590803256337686
0.7000000000000002,32745.508903568996,0.004468337352934267
0.8000000000000007,32745.567901858798,0.005460008265047135
0.9000000000000004,32745.587461579475,0.003039637260328062
1.0,32745.645720030025,0.005214151826864606
1.1000000000000005,32745.704255881807,0.005493604913632678
1.2000000000000002,32745.742936580027,0.004038870722424629
1.3000000000000007,32745.781899968573,0.004147632390410549
1.4000000000000004,32745.83983725478,0.005234752972769261
1.5,32745.88069644353,0.003944595666486016
1.5999999999999996,32745.917959151928,0.003944281216819257
1.700000000000001,32745.96284642833,0.004747195297503256
1.8000000000000007,32746.01490910923,0.004709488373741661
1.9000000000000004,32746.053853677822,0.004121791188170008
2.0,32746.11251504751,0.005383434367529526
2.0999999999999996,32746.15129383358,0.004486576725086545
2.200000000000001,32746.19371865367,0.004289976567610877
2.3000000000000007,32746.22902203497,0.0044208678488435165
2.4000000000000004,32746.288093725034,0.005194038621142146
2.5,32746.32712696976,0.004293459450161568
2.5999999999999996,32746.366375198177,0.003953131381280801
2.700000000000001,32746.424752548723,0.005176360217835512
2.8000000000000007,32746.46380297988,0.003911769309746647
2.9000000000000004,32746.512035224834,0.004884748951232626
3.0,32746.54314188312,0.004014005244878618
3.1000000000000014,32746.60057487433,0.00516901840799312
3.200000000000001,32746.63921468528,0.003967104014412413
3.3000000000000007,32746.678420958346,0.00414171100044666
3.4000000000000004,32746.737069348244,0.0050087583493346475
3.5,32746.77535173606,0.004154993968328579
3.6000000000000014,32746.828203446497,0.004820084157398144
3.700000000000001,32746.873525225794,0.00430482940584649
3.8000000000000007,32746.91256875057,0.003961703927481416
3.9000000000000004,32746.971058173644,0.005608829611353935
4.0,32747.009844479337,0.003732397592702984
4.100000000000001,32747.048497614713,0.0039843724669255415
4.200000000000001,32747.107452077053,0.005194214756708236
4.300000000000001,32747.146523986656,0.004037504556565025
4.4,32747.18577041975,0.003962071064945057
4.5,32747.22416330454,0.0038801411640609646
4.600000000000001,32747.28317159258,0.005552539947387003
4.700000000000001,32747.32271348271,0.004128530759177265
4.800000000000001,32747.361892681816,0.0035782749486656775
4.9,32747.420107477177,0.005745767414535014
5.0,32747.459041981394,0.0038726199300746864
5.100000000000001,32747.497591640113,0.004067091528011882
5.200000000000001,32747.55601785296,0.0050072945099596125
5.300000000000001,32747.595190685082,0.003866458421120067
5.4,32747.63385283513,0.004208071875259872
5.5,32747.691829149866,0.005075714518587171
5.600000000000001,32747.730747478654,0.0041385550828837965
5.700000000000001,32747.75019809016,0.0032060143522215814
5.800000000000001,32747.749834723374,0.0030080430231986663
5.9,462241.44694042363,6058754.184247178
6.0,32747.750601461525,0.00287322192373131
6.100000000000001,32747.750915726447,0.002556146848500027
6.200000000000001,377825.1032710831,4867915.096485358
6.300000000000001,32747.751472815984,0.002941182282199135
6.4,32747.7516694658,0.0030907128730163253
6.5,32747.752085920896,0.0028652377750626084
