Voltage DC (V),Mean Frequency (Hz), STDEV Frequency (Hz)
-6.5,32742.76124153254,0.0029256692932843925
-6.4,32742.76162450824,0.0031564990839276527
-6.3,32742.76226254975,0.003011270300814857
-6.2,3.2999999999999998e+35,5.706233433710892e+36
-6.1,32742.76260065667,0.0028163395694895833
-6.0,32742.76358913834,0.002768266733045666
-5.9,32742.76381100534,0.0029764768310411665
-5.8,32742.764025000004,0.002608364667702443
-5.7,32742.764441849515,0.002910400111964925
-5.6,32742.76428573285,0.002772406423544814
-5.5,32742.764408818588,0.003002190390450822
-5.4,32742.76420749006,0.0029469528130004704
-5.3,32742.764760448947,0.0029396641619374494
-5.2,32742.802438504958,0.004401336288074778
-5.1,377039.2052033734,4856897.875641271
-5.0,32742.904181979622,0.0054560008620697445
-4.9,32742.940968785137,0.0037798827327528593
-4.8,32742.999069381112,0.005506495706297479
-4.7,32743.058173048048,0.005004266663063738
-4.6,377040.2603611873,4856909.444348285
-4.5,32743.117107729664,0.0038911360347131004
-4.4,32743.196076189044,0.006327721353707144
-4.3,32743.231346989298,0.00381489579741033
-4.199999999999999,32743.2750950491,0.004179269510309908
-4.1,32743.3339217449,0.004941032549776481
-4.0,32743.378258047695,0.0043761863323380735
-3.9,32743.392581605618,0.002893887450187908
-3.8,32743.451349702067,0.004919591540383045
-3.6999999999999997,32743.510004402822,0.0056462313144905706
-3.5999999999999996,32743.54791119144,0.003866680534141197
-3.5,32743.58856439454,0.00428063975922392
-3.4,32743.647088481568,0.004936158430383435
-3.3,32743.695192693143,0.004883299209174467
-3.1999999999999997,32743.724926556173,0.00392662818393784
-3.0999999999999996,32743.783103317866,0.005049804829784823
-3.0,32743.841832721457,0.004898955217085538
-2.9,32743.861976623062,0.0031274469890156683
-2.8,32743.93552148655,0.006152267797855315
-2.6999999999999997,32743.97893586712,0.004186711379070427
-2.5999999999999996,32744.01036653428,0.00384520410409473
-2.5,32744.038748182196,0.0034189550829093673
-2.3999999999999995,32744.093044385867,0.005291201512320236
-2.3,32744.13661250256,0.004238813697194023
-2.2,32744.175881402258,0.004174732599397529
-2.0999999999999996,32744.234068215737,0.005298525821216818
-2.0,32744.29434405334,0.015483716468435618
-1.8999999999999995,32744.326917485123,0.003716677591580747
-1.7999999999999998,32744.372141434935,0.00469053944494887
-1.6999999999999993,32744.410959217425,0.004068221532157948
-1.5999999999999996,46715.97110512143,241589.8158372158
-1.5,32744.508936823906,0.003935485473004414
-1.3999999999999995,32744.566812029643,0.0054905194337405115
-1.2999999999999998,32744.625286454793,0.005184347339216456
-1.1999999999999993,32744.64481250581,0.00292672945759688
-1.0999999999999996,32744.684770156488,0.004048770604086885
-1.0,32744.724054761256,0.004228159351417344
-0.8999999999999995,32744.78807354193,0.005724963016320719
-0.7999999999999998,32744.84087345742,0.0048878700672444425
-0.6999999999999993,32744.879788144925,0.004091112768753333
-0.5999999999999996,32744.93850260004,0.005146031000167839
-0.5,32744.95806828621,0.0032915594195925754
-0.39999999999999947,32745.016301750347,0.005404124364238107
-0.2999999999999998,32745.07489059601,0.005732071844427235
-0.1999999999999993,32745.11409734557,0.004174966917777332
-0.09999999999999964,32745.153442773408,0.004162629369786583
0.0,32745.211503665876,0.00544069302077099
0.10000000000000053,32745.253267228938,0.004241368768383874
0.20000000000000018,32745.270770269097,0.0032112329535288323
0.3000000000000007,32745.30985089409,0.0044074056886775565
0.40000000000000036,32745.368160275855,0.004933632078839646
0.5,32745.414985038962,0.004555108139272287
0.6000000000000005,32745.465828861463,0.005181931436657386
0.7000000000000002,32745.505284501513,0.004037256201593768
0.8000000000000007,32745.564061077435,0.004977768956222957
0.9000000000000004,32745.583830380274,0.003239624699580666
1.0,32745.642748072944,0.005508437042991773
1.1000000000000005,32745.701012882986,0.004910827401737002
1.2000000000000002,262283.4029585672,3969077.2215468106
1.3000000000000007,32745.77930287458,0.0041428849504150395
1.4000000000000004,32745.837868636736,0.004943126790218211
1.5,32745.852348376946,0.46062992335922115
1.5999999999999996,32745.9163753758,0.00380570212910095
1.700000000000001,32745.96171724204,0.004881536345414952
1.8000000000000007,32746.014229376062,0.0044481925681015754
1.9000000000000004,32746.05274482927,0.0041617459829966985
2.0,317545.59787553066,4924643.49323364
2.0999999999999996,32746.150511456723,0.004266651339659298
2.200000000000001,32746.192964625807,0.004157166760272288
2.3000000000000007,32746.228500752095,0.0037166605810087664
2.4000000000000004,32746.28733953512,0.005669516731647534
2.5,32746.326816922185,0.004445287156082866
2.5999999999999996,32746.365393414802,0.004226268573631381
2.700000000000001,32746.42463469639,0.005850649824713388
2.8000000000000007,32746.463809071985,0.004225278057232873
2.9000000000000004,32746.512210550394,0.004467370379773837
3.0,32746.544028465207,0.004176472630320978
3.1000000000000014,32746.600963055946,0.004487030141686473
3.200000000000001,32746.63964421938,0.004284451146460513
3.3000000000000007,32746.679216114437,0.004069142451207338
3.4000000000000004,32746.737952657746,0.004566131680918382
3.5,32746.77661732527,0.0038768172004396955
3.6000000000000014,32746.829214956313,0.004984568577743909
3.700000000000001,32746.873993681882,0.004453853032713637
3.8000000000000007,1108775.9450779231,18606281.322780512
3.9000000000000004,32746.97190768125,0.0047454569428182075
4.0,32747.011450172242,0.004383767108370134
4.100000000000001,32747.050384582275,0.00403116004375685
4.200000000000001,32747.109377334775,0.0052195932113567964
4.300000000000001,32747.148533233256,0.004450222834374397
4.4,32747.187375612935,0.003868898881589195
4.5,32747.226346501473,0.004022708880592771
4.600000000000001,32747.28484789914,0.004949753762433449
4.700000000000001,32747.324472195247,0.004267213240943606
4.800000000000001,32747.362988561665,0.0042124430178592225
4.9,32747.421497840485,0.00502013972159409
5.0,32747.461110433116,0.003923585250654608
5.100000000000001,32747.50028219145,0.0036254625841521545
5.200000000000001,32747.558770703617,0.005277444387232873
5.300000000000001,32747.59798448826,0.0039041692743197304
5.4,32747.63702921968,0.004383954194952274
5.5,32747.694854641737,0.004840386587344986
5.600000000000001,32747.73462175859,0.0038771839932830766
5.700000000000001,32747.75410289329,0.003274891058059312
5.800000000000001,32747.75436810239,0.0028928038705146554
5.9,32747.754624935103,0.002979111730770622
6.0,32747.754329144198,0.0026588442283584065
6.100000000000001,32747.754293095917,0.002720219249295067
6.200000000000001,32747.754533821684,0.0028143050800376124
6.300000000000001,32747.75485859786,0.002641038612722594
6.4,32747.754723958384,0.00277523838220334
6.5,32747.754362146232,0.0027294930596860854
