Voltage DC (V),Mean Frequency (Hz), STDEV Frequency (Hz)
6.5,32747.75187071365,0.002881047754176531
6.4,32747.751513826977,0.0029489947288460156
6.3,32747.751304631824,0.0027692089052944423
6.2,32747.751211535968,0.002951357022307433
6.1,32747.75098030214,0.0027311304256813777
6.0,32747.750666987493,0.002668755777029228
5.9,32747.750226070544,0.0029165389106865706
5.8,32747.750292090383,0.0029300733773759404
5.7,32747.7499803319,0.00291958546120702
5.6,1813488.3886065623,30791884.483124983
5.5,32747.691388116447,0.003976423609942351
5.4,32747.63305374828,0.004978769397170928
5.3,32747.593877046704,0.004227883879273926
5.2,32747.555222121322,0.0036723394367684636
5.1,32747.49676726438,0.004936877913835993
5.0,61028.3236289662,345211.96753509145
4.9,32747.41862873783,0.004036639187826864
4.8,32747.360516159275,0.005037883717044785
4.7,32747.321524750467,0.0037423545026757286
4.6,32747.281937802007,0.004038272242089977
4.5,32747.223526431942,0.005339948003635674
4.4,32747.18355602041,0.004250961791857695
4.3,32747.144908084247,0.003912206088983114
4.199999999999999,32747.10521863313,0.004229353345049328
4.1,32747.04659782442,0.0051261728757529615
4.0,32747.007334778667,0.0042896614211066645
3.9,32746.96796901612,0.004002110458801221
3.8,32746.90941831421,0.005625254724103362
3.6999999999999997,32746.870236202256,0.004040779772289061
3.5999999999999996,32746.82485066815,0.004317779462553242
3.5,32746.772108525398,0.0046272131348956075
3.4,459954.01054483873,6026500.269214081
3.3,32746.69399837103,0.004063192787516859
3.1999999999999997,32746.63573211177,0.005461562425215504
3.0999999999999996,32746.596228130915,0.004345258779375643
3.0,32746.541812196534,0.005721952125065362
2.9,32746.508325464863,0.0036819767557928194
2.8,32746.46059968474,0.004916584020756705
2.6999999999999997,32746.421617088145,0.004354286534882076
2.5999999999999996,32746.382630492022,0.0040327436324047415
2.5,377054.929308508,4857070.325010054
2.3999999999999995,32746.284191041264,0.004695852505090895
2.3,32746.225411066487,0.004695696198097005
2.2,32746.189605271276,0.0037309536846034416
2.0999999999999996,32746.147343885565,0.004411021562441074
2.0,32746.106302601784,0.014139260375344749
1.8999999999999995,32746.04898273001,0.0055602584817981025
1.7999999999999998,32746.009208145526,0.0041267278066955855
1.6999999999999993,32745.95701563377,0.004761649514891607
1.5999999999999996,32745.911515061962,0.004830857062500817
1.5,32745.8743425882,0.004138961062733377
1.3999999999999995,32745.83254274295,0.004480420427999594
1.2999999999999998,32745.793635978804,0.0036154698008521043
1.1999999999999993,32745.735708405147,0.0057612084242749766
1.0999999999999996,32745.69603735177,0.004266325348688836
1.0,32745.637895546442,0.005127839299818487
0.8999999999999995,32745.59910849953,0.004332769751493499
0.7999999999999998,32745.560288679077,0.0039549028375399755
0.6999999999999993,32745.50179731178,0.005076689518581736
0.5999999999999996,32745.46291191232,0.004479940453558561
0.5,32745.41190353903,0.005160555446594587
0.39999999999999947,32745.36510818891,0.0042984643228170015
0.2999999999999998,32745.32576368772,0.004140469355816671
0.1999999999999993,32741.027276443678,73.3095979833489
0.09999999999999964,32745.249564292197,0.003208784180502294
0.0,32745.208260510477,0.00442401143945085
-0.10000000000000053,32745.167947741833,0.0043605797157093545
-0.20000000000000018,32745.1089228478,0.006035185018783471
-0.3000000000000007,32745.070020492585,0.004197556210130734
-0.40000000000000036,32745.011031096303,0.004477004593732195
-0.5,32744.970659374085,0.0044235352828075405
-0.6000000000000005,32744.930639461043,0.0038691474253721506
-0.7000000000000002,32744.871824197577,0.005527040180076687
-0.8000000000000007,32744.832637975203,0.004488695085766614
-0.9000000000000004,32744.780235508308,0.005021445274614967
-1.0,32744.736374974145,0.0043745235932398764
-1.1000000000000005,32744.697837281587,0.004042585364190684
-1.2000000000000002,32744.638786471573,0.00522823246956271
-1.3000000000000007,33764.34890450248,14385.046968095967
-1.4000000000000004,32744.561744131435,0.00521990401648856
-1.5,32744.503515087526,0.004680662436803566
-1.5999999999999996,32744.46550995558,0.00396909277881638
-1.700000000000001,32744.42539095672,0.004174510838600921
-1.8000000000000007,32744.367351947265,0.005004873647023894
-1.9000000000000004,32744.322628207592,0.0040362336404637916
-2.0,32744.28950621918,0.003903613360341768
-2.0999999999999996,32744.231176726476,0.005152282331016592
-2.200000000000001,32744.17246358681,0.005060944764439416
-2.3000000000000007,32744.153325896088,0.0032000990054898166
-2.4000000000000004,32744.09010644148,0.005416196768099694
-2.5,32744.03686409677,0.005148015127569235
-2.5999999999999996,32744.008552904103,0.0034268226099226345
-2.700000000000001,32743.99822595958,0.002758792643705582
-2.8000000000000007,32743.93616839305,0.006137387660769723
-2.9000000000000004,32743.882502374214,0.004753555426436319
-3.0,32743.843201994758,0.004132388203264278
-3.1000000000000014,32743.78527833314,0.005171798890487482
-3.200000000000001,32743.726827193084,0.004974730164926868
-3.3000000000000007,32743.696592066008,0.0035406452988837596
-3.4000000000000004,32743.649101769202,0.004624714638886821
-3.5,32743.61007108774,0.004352264088870731
-3.6000000000000014,32743.55018026815,0.005006941029168434
-3.700000000000001,32743.51266604553,0.0040875482012885924
-3.8000000000000007,32743.454252444768,0.005496126833462538
-3.9000000000000004,32743.395729896674,0.004863929852418329
-4.0,32743.38183981088,0.003051545380257178
-4.100000000000001,32743.337553732432,0.004664321983555134
-4.200000000000001,32743.298055365223,0.003947439140594202
-4.300000000000001,32743.23508558575,0.005729561537072515
-4.4,32743.200278428438,0.0042586608998997615
-4.5,32743.1423889305,0.005128687155309819
-4.600000000000001,32743.083433701075,0.005431556707818346
-4.700000000000001,32743.063894444873,0.003331533728332353
-4.800000000000001,32743.005450727207,0.004913490272927307
-4.9,32742.94679282284,0.004931964438450757
-5.0,32742.90984146415,0.004131528662707303
-5.100000000000001,32742.849823311666,0.006038294265271523
-5.200000000000001,32742.807714944418,0.003855057863358531
-5.300000000000001,32742.770934082426,0.004219110088147684
-5.4,32742.77140897644,0.00293939203538003
-5.5,32736.26895022842,91.72654597294999
-5.600000000000001,32742.771681855866,0.0030129984057070806
-5.700000000000001,32742.771584619357,0.0026484930247665187
-5.800000000000001,32742.771526070814,0.0030282793913289393
-5.9,32742.77153257906,0.0028656065923360952
-6.0,32742.77166884503,0.0028389127146025484
-6.100000000000001,32742.771740404474,0.0029806951866795574
-6.200000000000001,32742.772117717774,0.0030143254083774495
-6.300000000000001,32742.771772931428,0.002722889436440642
-6.4,32742.771974943462,0.0026789469441554237
-6.5,32742.771682377024,0.0029017523241330542
