Voltage DC (V),Mean Frequency (Hz), STDEV Frequency (Hz)
-6.5,32742.79759816186,0.17534084496489544
-6.4,32742.785765337583,0.01601093050307333
-6.3,262273.5764945131,3968958.378677771
-6.2,32742.786058807334,0.016277500301420413
-6.1,32742.783586753776,0.017244885310085376
-6.0,32742.784913327763,0.016303317943760165
-5.9,32742.786618271413,0.015285573031969854
-5.8,32742.78678090765,0.01636622044737797
-5.7,32742.785232621045,0.016673199748057085
-5.6,32742.78636456331,0.01802644111938191
-5.5,32742.784919824277,0.017569374406432494
-5.4,32742.785011436863,0.016336441992358494
-5.3,32736.28324756571,91.72702970701768
-5.2,32742.8241730719,0.017045306389041816
-5.1,32742.862652210555,0.016498354146334205
-5.0,32742.926175510634,0.017044050036658365
-4.9,32742.961370755787,0.018397871656333664
-4.8,32743.017634428837,0.017165056612109826
-4.7,32743.078692025156,0.01798410815897215
-4.6,32743.096901325753,0.018055783072809785
-4.5,5.114999999999999e+36,2.1913963014480063e+37
-4.4,1.6499999999999996e+36,1.2673890483983204e+37
-4.3,32743.249203218184,0.0166559769321715
-4.199999999999999,32743.292437539683,0.01864768729642849
-4.1,32743.352786322088,0.01672443696611646
-4.0,32743.39490324286,0.017435967766947166
-3.9,32743.40866439721,0.01735017756243659
-3.8,32743.468030488257,0.01783021326041527
-3.6999999999999997,32743.526948864896,0.017664272359170688
-3.5999999999999996,32743.564661668912,0.016711541244809558
-3.5,32743.60372885062,0.01775952524421252
-3.4,32743.662642372445,0.01766210800682879
-3.3,32743.70982630325,0.01785297729233813
-3.1999999999999997,32743.74012880639,0.017135686002331674
-3.0999999999999996,32743.798693002784,0.01614862052141353
-3.0,32743.856166574365,0.0178879489190725
-2.9,32743.87770608794,0.017822097220072455
-2.8,32743.94989073011,0.018873733951004255
-2.6999999999999997,32743.99310452532,0.01684429832640178
-2.5999999999999996,32744.023844862953,0.017298752246217127
-2.5,32744.051860310858,0.01784107549575538
-2.3999999999999995,32744.10609727169,0.017403144872625457
-2.3,32744.14804643354,0.0170283903233834
-2.2,32744.18899385841,0.017544293888968283
-2.0999999999999996,32744.24669081145,0.01758268899901019
-2.0,32744.30721191901,0.027548122155140322
-1.8999999999999995,32744.338404283008,0.018021839170284853
-1.7999999999999998,317529.01491786516,4924386.593350784
-1.6999999999999993,32744.42178050276,0.016477158544252326
-1.5999999999999996,32744.481558157175,0.01840990524535908
-1.5,32744.519106095173,0.016935296852762224
-1.3999999999999995,32744.579535360353,0.01792539808922648
-1.2999999999999998,32744.637633457754,0.01777064413831944
-1.1999999999999993,32744.656711911746,0.01663169943353429
-1.0999999999999996,32744.69566092445,0.0166252753655634
-1.0,32744.753351491232,0.018682540399765378
-0.8999999999999995,32744.79875379907,0.017341502752360696
-0.7999999999999998,32744.85143714087,0.017250248427075014
-0.6999999999999993,32744.889304670454,0.017621831804942704
-0.5999999999999996,32744.948631330524,0.018342170573441938
-0.5,32744.970580108507,0.016985158830157308
-0.39999999999999947,32745.02907579351,0.01720231211645946
-0.2999999999999998,32745.085363044396,0.01564386337365315
-0.1999999999999993,32745.125967505555,0.01894099751886538
-0.09999999999999964,32745.164666782017,0.017739019334325316
0.0,32745.22309743735,0.017446822794389742
0.10000000000000053,32745.26554915685,0.017933456437315972
0.20000000000000018,262807.4652807331,3978147.036756954
0.3000000000000007,32745.321623823467,0.018806155366383505
0.40000000000000036,32745.38105071793,0.01736599198892827
0.5,32745.427097405052,0.01803093926477747
0.6000000000000005,32745.478019154132,0.016147016863168925
0.7000000000000002,32745.51616078578,0.01678290372331888
0.8000000000000007,32745.573081250128,0.01870440703783659
0.9000000000000004,32745.594291647314,0.01687478912280264
1.0,32745.654443506344,0.017966127845030867
1.1000000000000005,32745.71426860431,0.01638547791657987
1.2000000000000002,32745.75055299353,0.01731894488712979
1.3000000000000007,32745.788976333897,0.01615293938128583
1.4000000000000004,32745.84950917123,0.01809388249935378
1.5,262283.88977490796,3969083.0704539963
1.5999999999999996,32745.926010836785,0.017779837122615754
1.700000000000001,32745.972324159506,0.017239420715418306
1.8000000000000007,32746.0240383951,0.018021082409371076
1.9000000000000004,32746.061927915805,0.01705383266790055
2.0,32746.121204367566,0.018430846470828863
2.0999999999999996,32746.16081921258,0.017700721158490088
2.200000000000001,32746.20147868863,0.017620884122789813
2.3000000000000007,32746.238741393325,0.017379599493059738
2.4000000000000004,32746.296342120382,0.017635796973684777
2.5,32746.33570878647,0.018190133451061595
2.5999999999999996,32746.375117272913,0.016449653093655994
2.700000000000001,32746.435547929257,0.018314494381540886
2.8000000000000007,32746.473852817067,0.016331647094533764
2.9000000000000004,32746.52187281328,0.018130798730154978
3.0,32746.55006411091,0.017088880527382083
3.1000000000000014,32746.61001794331,0.018242641721915163
3.200000000000001,32746.650712967734,0.01859075029331577
3.3000000000000007,32746.689715712146,0.017124146797466443
3.4000000000000004,32746.746308005677,0.01771362074632931
3.5,32746.7841040341,0.018876087327165454
3.6000000000000014,32746.835846416387,0.01797623816831045
3.700000000000001,32746.88404224573,0.01724866770728458
3.8000000000000007,32746.92271245241,0.01626251294392582
3.9000000000000004,32746.979178077876,0.01639036160637213
4.0,32747.020466527785,0.01774732673444747
4.100000000000001,32747.058273590963,0.017883361451918357
4.200000000000001,32747.114830294253,0.0166994666706633
4.300000000000001,32747.154736630226,0.01647022475983157
4.4,32747.196084691746,0.01793034297538813
4.5,32747.234000745677,0.016970146621164906
4.600000000000001,3.2999999999999998e+35,5.706233433710892e+36
4.700000000000001,32747.3321086648,0.01705528044873522
4.800000000000001,32747.370020276878,0.017899438840313205
4.9,32747.429586436177,0.017086084951548865
5.0,32747.46997036703,0.018057841529249895
5.100000000000001,32747.506107376244,0.016267793796175874
5.200000000000001,32747.56595901393,0.01794683517620287
5.300000000000001,32747.605851260912,0.017308865664542233
5.4,32747.642838692198,0.017788025456226108
5.5,32747.701925103825,0.017564312098626838
5.600000000000001,32747.74182393552,0.01707557442914086
5.700000000000001,32747.760545751764,0.01816685528841845
5.800000000000001,32747.760288711575,0.017556481788894778
5.9,32747.763080741814,0.01803317385219286
6.0,262271.4777124457,3968836.063223995
6.100000000000001,32747.760744906987,0.01708665171721434
6.200000000000001,32747.75991854444,0.01762652666688322
6.300000000000001,32747.761258580933,0.016824444813188545
6.4,32747.761201861576,0.017750261931107427
6.5,32747.760166788106,0.016058100177618478
